Acct	ACCT	"LNAME, FNAME"	Address	City	State	ZIP	CC_NO	CV2	PIN	Balance	acct2
2013045482	7357723	"Arehart  , Myesha "	3541 Subscriptions Trace	COLUMBUS	GA	31909	4453394901733390	663	2643	2037	2013074584
2013045483	9118390	"Arehart  , Reed "	7054 Spoiling Lane	BARTLETT	TN	38133	4271782639465320	815	9710	316	2013074585
2013045484	2139282226	"Arnone  , Adela "	7158 Uncalculating Trail	CAPE CORAL	FL	33914	4453398760986310	752	7010	8666	2013074586
2013045485	1138305664	"Arnone  , Cristina "	3702 Failingly Blvd	PANAMA CITY	FL	32407	5662762598571770	948	8730	2748	2013074587
2013045486	1913452148	"Arnone  , Jaunita "	1521 Drastic Trace	ORLANDO	FL	32837	4453390101013180	203	7685	3633	2013074588
2013045487	549316406	"Banton  , Jere "	2364 Supervises Court	FLORISSANT	MO	63033	5662764786987290	178	3139	7265	2013074589
2013045488	1184778	"Banton  , Shanell "	8385 Instructively Lane	JACKSON	MS	39201	4271785345458970	842	4691	5813	2013074590
2013045489	1746553	"Banton  , Shu "	2607 Unappetizing Trail	MEMPHIS	TN	38115	4453397810668930	486	9425	6294	2013074591
2013045490	2299264	"Beehler  , Reta "	6593 Cursedness Court	GADSDEN	AL	35903	5662765711975090	609	4102	9351	2013074592
2013045491	6360976	"Beehler  , Samara "	1096 Tissuing Trail	THE VILLAGES	FL	32162	4453397239685050	652	8491	1416	2013074593
2013045492	1797336	"Beehler  , Sherwood "	8587 Observations Avenue	DICKINSON	TX	77539	4271787447509750	865	8149	1157	2013074594
2013045493	314331054	"Belk  , Alton "	5876 Southing Avenue	MIAMI	FL	33134	4271782022399900	667	2524	414	2013074595
2013045494	375366210	"Belk  , Lamar "	2238 Mistaken Lane	PHILADELPHIA	MS	39350	4271784084472650	908	9110	7739	2013074596
2013045495	5823780	"Belk  , Reed "	7302 Republished Court	BLOOMINGTON	IN	47403	5662765422058100	426	1762	3355	2013074597
2013045496	588989257	"Benavides  , Broderick "	4429 Mufflers Street	VACHERIE	LA	70090	4453396656799300	145	4199	5027	2013074598
2013045497	531005859	"Benavides  , Edmundo "	5579 Traitors Road	BUTLER	AL	36904	5662769523925770	271	1680	2895	2013074599
2013045498	1651978	"Benavides  , Nell "	8021 Disciple Trail	MELBOURNE	FL	32935	4453392190246570	691	6111	4309	2013074600
2013045499	246093427	"BENNETT, BRANDON"	6466 fatherliness Avenue	HORN LAKE	MS	38637	4453394258117670	601	7361	2380	2013074601
2013045500	637817382	"Berkley  , Bernard "	4783 Regarding Trace	RALEIGH	NC	27609	4453395481567370	815	1584	4838	2013074602
2013045501	5039061916	"Berkley  , Lucienne "	8681 Bonnier Trace	TUPELO	MS	38801	4453391361389150	944	4202	4884	2013074603
2013045502	5986328188	"Berkley  , Vernie "	8996 Killing Lane	CLARKSVILLE	TN	37043	4271780789184560	625	5702	998	2013074604
2013045503	976562499	"Bigby  , Adriane "	9989 Scrupulous Avenue	HUNTSVILLE	AL	35801	4271783474121090	747	3694	2823	2013074605
2013045504	1446533203	"Bigby  , Darline "	6019 Walling Street	PARIS	TN	38242	4453390321960440	654	1091	3992	2013074606
2013045505	4111321321	"Bigby  , Lera "	7259 Leopards Avenue	MURFREESBORO	TN	37129	4271788877563460	138	7794	4275	2013074607
2013045506	985717773	"Bjornson  , Deeanna "	2728 Evaporates Circle	MIAMI	FL	33175	4271789128723130	900	4468	3055	2013074608
2013045507	656127929	"Bjornson  , Ervin "	1964 Impoverish Court	EDGEFIELD	SC	29824	5662760144348140	862	9962	1192	2013074609
2013045508	5408480	"Bjornson  , Newton "	5618 Moneyed Road	COOPER CITY	FL	33328	5662764287109370	921	3183	9226	2013074610
2013045509	1242065429	"Blake  , Charis "	5984 Redemption Court	ORLANDO	FL	32801	5662769335937490	144	8251	7328	2013074611
2013045510	1184082031	"Blake  , Lance "	1225 Smugness Road	BRENTWOOD	TN	37027	5662764084472650	532	7704	4652	2013074612
2013045511	6776608	"Blake  , Samatha "	6617 Actually Street	HOT SPRINGS	AR	71901	4453392184753410	450	7606	6297	2013074613
2013045512	241088867	"Boedeker  , Jaunita "	7347 Recarbonizers Blvd	LITHIA SPRINGS	GA	30122	5662763207397450	180	3081	9324	2013074614
2013045513	9687849	"Boedeker  , Reed "	8155 Habitually Trail	MIAMI	FL	33127	4453397940063460	460	1788	7164	2013074615
2013045514	1188537	"Boedeker  , Tess "	813 Impacted Lane	WHITEVILLE	TN	38075	4271783620605460	545	7397	4311	2013074616
2013045515	180053710	"Bogan  , Alayna "	9483 Negator Court	BLOOMINGTON	IN	47404	5662760984191890	933	9783	6229	2013074617
2013045516	631713867	"Bogan  , Charlena "	947 Alienated Lane	LITTLE ROCK	AR	72212	4271784239196770	158	8007	6380	2013074618
2013045517	790405273	"Bogan  , Jan "	4706 Maintainer Road	PINEVILLE	LA	71360	5662760147094720	297	4839	8788	2013074619
2013045518	1712036132	"Borth  , Ardelle "	1300 Classed Circle	CYPRESS	TX	77429	4271788116149890	989	5829	6588	2013074620
2013045519	1397705078	"Borth  , Lamar "	5576 Hooting Court	SPRINGFIELD	TN	37172	5662767823791490	196	4932	5361	2013074621
2013045520	535157873	"Borth  , Larraine "	8238 Qualitatively Lane	SANFORD	FL	32773	4271784101867670	533	9532	3832	2013074622
2013045521	440429851	"BRATTON, EMILY"	805 irritating Blvd	JACKSONVILLE	FL	32259	4453390499877920	160	9455	9985	2013074623
2013045522	674438476	"Breuer  , April "	2733 Scarcity Blvd	FORT PAYNE	AL	35967	5662766068725570	834	4967	7268	2013074624
2013045523	546264648	"Breuer  , Bernard "	4186 Dirtily Circle	MIAMI	FL	33130	4271782492065420	216	9601	8133	2013074625
2013045524	1100483	"Breuer  , Tess "	6998 Standardize Court	DALLAS	GA	30157	5662767608032210	612	1729	3909	2013074626
2013045525	7758789157	"BROWDER, CHRISTIAN"	4766 proteges Avenue	ATHENS	AL	35613	4271781122436520	175	8840	6294	2013074627
2013045526	918945466	"BROWN, FRANCES"	9398 barbering Parkway	WENTZVILLE	MO	63385	4271787857971180	297	2016	2149	2013074628
2013045527	1217651367	"Bulfer  , Alayna "	9920 Transports Trace	TALLAHASSEE	FL	32303	4453393613281240	769	2055	5530	2013074629
2013045528	265502929	"Bulfer  , Bobby "	4748 Speedier Lane	MOUNT PLEASANT	SC	29464	4271781820678700	632	4581	7881	2013074630
2013045529	1828002929	"Bulfer  , Jan "	749 Refrying Avenue	NEW PORT RICHEY	FL	34654	4271780434875480	328	6319	9082	2013074631
2013045530	772094726	"Cady  , Harold "	2324 Otherness Court	DESTIN	FL	32541	5662760844421380	576	6761	6210	2013074632
2013045531	2047729492	"Cady  , Jay "	2951 Criticizes Court	CHARLOTTE	NC	28273	5662760193176260	301	1102	3692	2013074633
2013045532	3069528	"Cady  , Verlene "	4552 Preceptive Trace	WOODBURY	TN	37190	4453394746704090	306	4289	6365	2013074634
2013045533	344848632	"Cahoon  , Claudia "	1310 Simplified Trace	JACKSON	MS	39209	4453393959350580	315	2210	2543	2013074635
2013045534	832036652	"Cahoon  , Leonard "	9453 Totteringly Trail	MARCO ISLAND	FL	34145	4453395996704090	202	5986	4562	2013074636
2013045535	8612463	"Cahoon  , Robby "	1418 Reciprocative Circle	COLUMBIA	MO	65202	4271782728271480	826	9502	2771	2013074637
2013045536	1922607421	"Cane  , Alina "	6835 Coursing Road	BOSSIER CITY	LA	71113	5662760971679680	277	9011	7223	2013074638
2013045537	6589208	"Cane  , Phuong "	4376 Cyclicly Street	CHATTANOOGA	TN	37402	4453399678344710	770	2594	8268	2013074639
2013045538	3201429	"Cane  , Samatha "	2462 Problem Road	BALD KNOB	AR	72010	5662767880249010	161	4732	8073	2013074640
2013045539	122070125	"CASH, AMANDA"	5347 commenting Lane	CHAMPIONS GATE	FL	33896	5662769773254380	262	3670	2172	2013074641
2013045540	122070312	"Cerny  , Benita "	2169 Foresighted Street	JACKSON	AL	36545	4453397297668440	739	3961	8257	2013074642
2013045541	9746601	"Cerny  , Refugio "	1646 Stepping Street	MAUMELLE	AR	72113	4453398457336410	535	5065	888	2013074643
2013045542	1469293	"Cerny  , Sandie "	2166 Reptile Circle	DELHI	LA	71232	4271783159484860	792	9647	7042	2013074644
2013045543	106811523	"Clatterbuck  , Domingo "	6352 Harvesters Avenue	MOORHEAD	MS	38761	4271785225830070	534	7052	8065	2013074645
2013045544	7274966	"Clatterbuck  , Sam "	8416 Syringed Road	CALHOUN CITY	MS	38916	5662766160583480	731	3711	8765	2013074646
2013045545	3898393	"Clatterbuck  , Sumiko "	2511 Propagations Avenue	BOCA RATON	FL	33498	4271788223876940	405	8504	6083	2013074647
2013045546	970458984	"Conlan  , Charlena "	6062 Bafflers Trail	MONTGOMERY	AL	36105	4453390215759270	238	7433	5360	2013074648
2013045547	460934272	"Conlan  , Lavonna "	9593 Unendingly Trace	SHERWOOD	AR	72120	4453397892150870	441	4735	8212	2013074649
2013045548	8115103	"Conlan  , Myesha "	4343 Enlister Circle	COLUMBIANA	AL	35051	4271781748352040	151	2352	1867	2013074650
2013045549	1754760742	"Cowherd  , Antonietta "	7452 Indirectly Road	CLEVELAND	TN	37312	5662766634521470	177	8519	6490	2013074651
2013045550	2976989	"Cowherd  , Peggie "	2130 Greases Trace	HUMBOLDT	TN	38343	4453390776367180	270	8326	8865	2013074652
2013045551	5736166	"Cowherd  , Verlene "	6305 Winders Blvd	BRANDON	MS	39042	5662767643432600	404	8970	5862	2013074653
2013045552	6756876	"Crafton  , Newton "	1943 Scrambler Avenue	CENTRE	AL	35960	4271786613464340	318	1498	3485	2013074654
2013045553	1970681	"Crafton  , Odell "	1401 Superimpose Blvd	YORK	AL	36925	5662766613464340	429	9557	9500	2013074655
2013045554	2943370	"Crafton  , Ruthann "	9531 Saucier Trail	TRENTON	TN	38382	4453390968322750	318	3809	3183	2013074656
2013045555	1333618164	"Cybulski  , Aisha "	4331 Misspells Blvd	MELBOURNE	FL	32940	5662764429321280	714	7836	3903	2013074657
2013045556	698852539	"Cybulski  , Ebonie "	8370 Emblems Trace	HUEYTOWN	AL	35023	4453391999206540	956	2794	2309	2013074658
2013045557	1260375976	"Cybulski  , Emely "	1267 Diagnosed Circle	HOMER	LA	71040	4271785813293450	319	9462	7977	2013074659
2013045558	1736450195	"Dazey  , Jacklyn "	5701 Centimeters Trail	NASHVILLE	TN	37205	4453393138122550	337	2878	8244	2013074660
2013045559	4137914	"Dazey  , Ruthann "	418 Botulism Lane	HUNTSVILLE	AL	35810	4271786160583480	998	9218	8712	2013074661
2013045560	1864624023	"Decelles  , Antonietta "	7730 Reclined Lane	BATON ROUGE	LA	70884	4271786634521470	889	9878	2963	2013074662
2013045561	7426257	"Decelles  , Shanell "	6441 Password Court	URBANDALE	IA	50322	5662766520996080	872	1351	6697	2013074663
2013045562	1801670	"Decelles  , Stephnie "	5013 Employable Lane	GALLIANO	LA	70354	4271789259948720	750	9174	7819	2013074664
2013045563	555419921	"Dedios  , Jacques "	1782 Pruners Street	MIAMI	FL	33137	4453399840393050	263	2263	207	2013074665
2013045564	134277343	"Dedios  , Jannet "	9086 Conditions Avenue	FISHERS	IN	46038	4271783207397450	991	1596	794	2013074666
2013045565	892575889	"Dedios  , Linsey "	8583 Rejoices Blvd	ROSWELL	GA	30075	5662768877563460	114	8953	8474	2013074667
2013045566	556640445	"DOLEYS, BARRY"	1087 emblems Trail	ALVIN	TX	77511	5662768181152330	738	6603	7021	2013074668
2013045567	2342192	"Dollins  , Reta "	9936 Tabulators Trail	CHARLOTTE	NC	28220	4453396288757310	211	2848	9605	2013074669
2013045568	5584164	"Dollins  , Sam "	7400 Successiveness Avenue	INDIANAPOLIS	IN	46256	4271786805419910	441	1198	4786	2013074670
2013045569	9495978	"Dollins  , Toi "	694 Surgically Blvd	PANAMA CITY BEACH	FL	32407	5662760207214350	615	9584	982	2013074671
2013045570	1742553710	"Dorsey  , Devona "	8391 Deformations Trail	SCOTT CITY	MO	63780	4453392333374020	882	6981	8087	2013074672
2013045571	747680664	"Dorsey  , Jennette "	3411 Workmanly Trace	MONTGOMERY	AL	36116	4453390017700190	429	6186	5792	2013074673
2013045572	8974601644	"Dorsey  , Lavonna "	719 Promisingly Circle	CLEARWATER	FL	33763	4271785331420890	720	5763	1629	2013074674
2013045573	353515787	"DOUGLAS, BASSAM"	5107 adumbrate Lane	ASHDOWN	AR	71822	4453397255249010	976	2323	9316	2013074675
2013045574	714111328	"Drakeford  , Aisha "	2812 Fermenter Avenue	JACKSON	TN	38305	4271784429321280	566	3265	9923	2013074676
2013045575	1263427734	"Drakeford  , Chi "	1403 Rediscovers Blvd	HATTIESBURG	MS	39401	5662765244445790	426	6701	9002	2013074677
2013045576	51566103	"Drakeford  , Leonard "	9320 Enthusiasm Court	PALM BEACH GARDENS	FL	33410	5662765331420890	691	6346	1535	2013074678
2013045577	1229858398	"Dugas  , Audra "	7224 Terminals Road	CORINTH	MS	38834	5662767097167960	196	4142	6430	2013074679
2013045578	1043828	"Dugas  , Lynnette "	5717 Awarder Road	PADUCAH	KY	42001	5662767756652820	623	2317	3637	2013074680
2013045579	8373357	"Dugas  , Tess "	9322 Filially Trail	BOILING SPRINGS	SC	29316	4453397059631340	999	3818	2103	2013074681
2013045580	70312122	"DUNN, CHARLES"	9481 overblown Road	HIGHLAND	IL	62249	5662761257629390	773	6976	4297	2013074682
2013045581	686645507	"Dwight  , Ebonie "	178 Registration Court	ST LOUIS	MO	63109	5662768087158190	419	7384	915	2013074683
2013045582	787353515	"Dwight  , Joeann "	7581 Hairdresser Road	AIKEN	SC	29803	5662764432067860	894	4424	5060	2013074684
2013045583	4281878	"Dwight  , Stephnie "	1659 Signally Trail	PASADENA	TX	77505	4453392008666990	454	3218	6798	2013074685
2013045584	85449218	"Elam  , Emely "	5241 Coolies Trace	MURRAY	KY	42071	4453392169189450	580	8262	6815	2013074686
2013045585	6675621	"Elam  , Marhta "	2824 Unsubstantiated Street	LEBANON	IL	62254	4453397889709460	755	6118	3415	2013074687
2013045586	5040771	"Elam  , Mee "	8980 Melodies Lane	BIRMINGHAM	AL	35244	4271781596679680	255	7036	6996	2013074688
2013045587	222778320	"Evelyn  , Crystle "	6053 Interrelationship Court	ALBANY	GA	31705	5662769065246570	358	3088	5647	2013074689
2013045588	332641601	"Evelyn  , Darcey "	448 Attuning Trail	BAY ST LOUIS	MS	39520	4453393109741200	939	6289	5339	2013074690
2013045589	3618164133	"Evelyn  , Yung "	7772 Starboarding Street	CHATTANOOGA	TN	37415	4453395459594720	366	8357	3691	2013074691
2013045590	817382637	"EVERETT JR., CHRISTINE"	9325 crankily Blvd	NASHVILLE	TN	37211	5662761122436520	868	6253	1718	2013074692
2013045591	305175781	"Fairclough  , Jada "	4286 Trooping Blvd	ST PETERSBURG	FL	33713	5662767816467270	293	3856	9365	2013074693
2013045592	1522827148	"Fairclough  , Janiece "	9508 Devising Circle	SUNRISE	FL	33351	4271785406188950	830	7154	82	2013074694
2013045593	3023680	"Fairclough  , Trish "	5148 Cherubim Street	JASPER	GA	30143	4453396216430650	598	6175	8053	2013074695
2013045594	1058959960	"Fallin  , Dixie "	8213 Varnishes Road	ORLANDO	FL	32819	5662764931335440	518	8785	3124	2013074696
2013045595	1836632	"Fallin  , Rozella "	6893 Reassembling Blvd	NEW ORLEANS	LA	70131	5662762905883780	502	6643	6153	2013074697
2013045596	1747415	"Fallin  , Terrance "	5746 Prosing Trace	ALPHARETTA	GA	30004	4453392423095700	425	9366	2149	2013074698
2013045597	7158203183	"FINDLEY, ADAM"	3130 adulations Trail	COCONUT CREEK	FL	33063	4271789773254380	593	9424	8143	2013074699
2013045598	1425170898	"Fix  , Cordell "	3372 Chiselers Road	GARDENDALE	AL	35071	5662763563232410	500	5989	3753	2013074700
2013045599	48824425	"Fix  , Lucia "	4470 Receives Road	MANDEVILLE	LA	70471	5662767081298820	470	8913	7855	2013074701
2013045600	4390284	"Fix  , Savannah "	820 Fruitlessness Street	AUBURN	AL	36830	4453396019592270	768	5650	8143	2013074702
2013045601	6596780	"Fleckenstein  , Phyllis "	4250 Entrenched Circle	TAMARAC	FL	33321	4271785422058100	122	8502	1097	2013074703
2013045602	5789465	"Fleckenstein  , Shaniqua "	2722 Sequels Road	YULEE	FL	32097	5662765345458970	919	3872	1464	2013074704
2013045603	2963625	"Fleckenstein  , Shelby "	9679 Unfraternizings Trace	HOT SPRINGS	AR	71913	4453398708801260	487	7956	4603	2013074705
2013045604	363159179	"Folk  , Deeanna "	3946 Bicarbonate Court	MIAMI	FL	33131	5662769128723130	431	3884	3487	2013074706
2013045605	3637835	"Folk  , Mauro "	6466 Wavefronts Blvd	STOCKBRIDGE	GA	30281	5662763432312000	391	6839	7333	2013074707
2013045606	440429851	"Folk  , Wilda "	6094 Marines Trace	BONITA SPRINGS	FL	34135	4453392717590320	672	6402	1296	2013074708
2013045607	9340820119	"FORMBY, GAIL"	895 augment Trail	AUBURN	AL	36831	5662767857971180	210	8365	2405	2013074709
2013045608	954101527	"FORRESTER, ASHLEY"	6404 disruptive Circle	ALTAMONTE SPRINGS	FL	32701	5662764628295890	417	4222	5813	2013074710
2013045609	82397460	"Forsberg  , Aurelio "	8915 Archivers Street	MELBOURNE	FL	32904	4453390858154290	750	5808	4256	2013074711
2013045610	6847879	"Forsberg  , Shizuko "	4513 Earthed Trace	BARTLETT	TN	38134	4453398940429670	465	5985	671	2013074712
2013045611	1837503	"Forsberg  , Terrance "	1130 Disambiguates Circle	DEERFIELD BEACH	FL	33441	4271787608032210	344	8006	2405	2013074713
2013045612	9858398122	"FOUNTAIN, ANNA"	4267 sculptures Avenue	LARGO	FL	33774	5662766491699210	415	6028	5599	2013074714
2013045613	8883275	"Foxworth  , Neil "	3128 Strolled Blvd	BRENTWOOD	MO	63144	5662761571655270	573	4866	1876	2013074715
2013045614	7332701	"Foxworth  , Ronnie "	323 Decrementing Trail	OAK RIDGE	TN	37830	4453394534606920	629	1966	8051	2013074716
2013045615	53710180	"Foxworth  , Wilton "	8110 Nonlinearities Lane	OKEECHOBEE	FL	34972	4271782285156240	102	3801	4497	2013074717
2013045616	2108764648	"Frisch  , Fredda "	9145 Indistinguishableness Trace	MEMPHIS	TN	38137	4453398720092760	389	3653	6143	2013074718
2013045617	1586914062	"Frisch  , Jacklyn "	4284 Prominently Lane	ARLINGTON	TX	76011	4271782847595210	289	1521	3003	2013074719
2013045618	9082822	"Frisch  , Maggie "	9638 Imaginative Trail	CHATTANOOGA	TN	37412	4453392529907220	249	2942	2569	2013074720
2013045619	484379521	"Gale  , Linsey "	9106 Pollutive Circle	PRINCETON	IN	47670	4271785983581530	719	8582	1526	2013074721
2013045620	9298937	"Gale  , Oleta "	9025 Incorruption Trail	WATERLOO	IA	50701	4453390678405760	950	5733	8304	2013074722
2013045621	536132149	"Gale  , Wilda "	5154 Decayer Blvd	TAMPA	FL	33613	5662762198486320	817	3350	5760	2013074723
2013045622	4624023186	"GILBERT, ANH"	6757 meritorious Road	HARVEY	LA	70058	4453391380310050	365	5591	364	2013074724
2013045623	445556640	"Gingras  , Audra "	8361 Indispensable Trail	MAYFIELD	KY	42066	4453390708312980	731	3314	502	2013074725
2013045624	1666259765	"Gingras  , Eloisa "	6346 Specifiable Avenue	CULLMAN	AL	35058	4271787720947250	275	9940	2031	2013074726
2013045625	1791381835	"Gingras  , Jade "	3705 Stuffing Lane	EAGLEVILLE	TN	37060	4271780147094720	325	7685	1374	2013074727
2013045626	30517578	"Grimley  , Gil "	9689 Augment Trail	HATTIESBURG	MS	39402	4453397395935050	662	8139	9054	2013074728
2013045627	204467773	"Grimley  , Kellie "	6150 Straighteners Trail	WESTON	FL	33326	4453399869384750	313	5090	2324	2013074729
2013045628	1916503906	"Grimley  , Larisa "	1055 Unsized Circle	NAPLES	FL	34102	4271783758850090	356	2092	7133	2013074730
2013045629	149536132	"Guillotte  , Adriene "	7089 Vocalizations Circle	HIALEAH	FL	33012	4271782218017570	255	9599	8612	2013074731
2013045630	5969946	"Guillotte  , Roselle "	1753 Campers Road	INDIANAPOLIS	IN	46220	5662762766723630	322	1218	3406	2013074732
2013045631	364257198	"Guillotte  , Zonia "	4728 Biplane Circle	CLARKSVILLE	TN	37040	4271786880798330	200	9857	4826	2013074733
2013045632	9858398122	"GUTHRIE, BENJAMIN"	8185 registration Road	COVINGTON	LA	70433	4271784660949700	205	3751	4603	2013074734
2013045633	5522460203	"HALE, CARL"	4803 ascendency Trace	ST AUGUSTINE	FL	32084	5662767930297840	577	4736	6401	2013074735
2013045634	331054314	"Harrison, George"	5738 Enchants Road	NICEVILLE	FL	32578	5662762107238760	283	8462	4021	2013074736
2013045635	2036132171	"HARTZOG, AUDREY"	1257 harvesters Court	MEMPHIS	TN	38141	4453393597717280	370	5017	1464	2013074737
2013045636	469970703	"Haslem  , Deeanna "	6583 Science Trace	MONTGOMERY	AL	36109	4453398796386700	733	1524	3087	2013074738
2013045637	1171874999	"Haslem  , Gil "	6624 Numbering Lane	CLEARWATER	FL	33765	4271789351501450	158	4560	5319	2013074739
2013045638	2059936523	"Haslem  , Karie "	6721 Unseeing Circle	BROOKHAVEN	MS	39601	4271780983581540	444	7447	9043	2013074740
2013045639	297851430	"HEADLEY, DONALD"	3617 rendezvousing Avenue	SCOTTSBORO	AL	35768	5662769804687490	720	8505	7819	2013074741
2013045640	9882812187	"HEATH, CARLETON"	1738 specifiable Circle	CLAYTON	GA	30525	4453390806884760	310	8434	5467	2013074742
2013045641	671386718	"Henegar  , April "	2771 Fondles Avenue	CORYDON	IN	47112	4271786068725570	741	9556	7270	2013074743
2013045642	7959202	"Henegar  , Maryjane "	6473 Airplanes Avenue	INDIANAPOLIS	IN	46221	4271783432312000	875	1914	1218	2013074744
2013045643	5117994	"Henegar  , Sherwood "	7895 Amounting Road	CULLMAN	AL	35055	5662761637573240	835	7780	5467	2013074745
2013045644	9272586	"Herr  , Shelby "	6541 Doughnuts Blvd	ST LOUIS	MO	63122	5662768192138660	559	2011	9316	2013074746
2013045645	8343517	"Herr  , Stefany "	2730 Unnatural Trace	PONTIAC	IL	61764	4453395607604970	718	2304	6799	2013074747
2013045646	7651367121	"Herr  , Yung "	1674 Expensing Avenue	MOBILE	AL	36605	4271785208435050	196	9990	1440	2013074748
2013045647	51879882	"Hessler  , Adela "	5311 Puffers Road	CLEARWATER	SC	29822	5662760636596670	535	7628	2871	2013074749
2013045648	1428222656	"Hessler  , Hanh "	3284 Abortive Street	INDIANAPOLIS	IN	46250	4453392504882800	854	1310	4376	2013074750
2013045649	7393721	"Hessler  , Marivel "	5205 Incited Trail	SHELBYVILLE	TN	37160	4453395010986320	217	3736	5990	2013074751
2013045650	1043701171	"Hoglund  , Foster "	6188 Rendezvousing Street	TALLADEGA	AL	35160	4453395371398920	436	1458	9906	2013074752
2013045651	228518209	"Hoglund  , Loraine "	5319 Combing Avenue	BIRMINGHAM	AL	35210	4271785763854970	117	6526	3669	2013074753
2013045652	2739604	"Hoglund  , Thad "	3504 Frosting Street	NEW SALISBURY	IN	47161	4453394379577630	934	8072	7771	2013074754
2013045653	2318232	"Hohlt  , Lydia "	6989 Thoughtfully Lane	TUSCALOOSA	AL	35405	4271787756652820	901	6773	2313	2013074755
2013045654	7368471	"Hohlt  , Madlyn "	2275 Underestimation Blvd	NEW PORT RICHEY	FL	34652	5662763357849110	530	6392	4740	2013074756
2013045655	6242418	"Hohlt  , Philip "	6005 Scouting Trail	LINCOLN	AL	35096	4453399487304670	593	2225	6720	2013074757
2013045656	1547851121	"HOLMES, CARMEN"	9396 belligerently Court	BOONEVILLE	AR	72927	4271781646118160	664	4790	4559	2013074758
2013045657	921630859	"Hornak  , Broderick "	724 Touchily Avenue	OCEAN SPRINGS	MS	39564	4271786259765610	977	9277	6240	2013074759
2013045658	1928710937	"Hornak  , Devona "	9264 Truncating Road	FULTON	MO	65251	5662763020019520	152	1869	843	2013074760
2013045659	8124991757	"Hornak  , Larraine "	9653 Beastlier Court	SHERIDAN	AR	72150	5662763758850090	376	1410	4166	2013074761
2013045660	143432617	"Huckins  , Claudia "	1570 Compile Circle	DEMOPOLIS	AL	36732	4271783386535640	353	1475	7866	2013074762
2013045661	250244140	"Huckins  , Kennith "	9395 Arianism Avenue	NEW HEBRON	MS	39140	4271789189453110	946	3700	626	2013074763
2013045662	4648875	"Huckins  , Robby "	605 Browned Blvd	BRYANT	AR	72022	5662764190673820	179	2199	9171	2013074764
2013045663	2084350585	"Hurston  , Jeanene "	5295 Promoters Road	NEW SMYRNA BEACH	FL	32168	5662762702636710	833	3240	4720	2013074765
2013045664	7980645	"Hurston  , Marhta "	6900 Negatives Avenue	MADISONVILLE	TN	37354	4271781495361320	145	6720	636	2013074766
